[[-2.40331309  0.35341025  0.80350725]],[[-2.51685206  0.23987128  0.68996828]],[[-2.52594875  0.23077458  0.68087158]],[[-2.58685517  0.16986817  0.61996517]],[[-2.66257537  0.09414797  0.54424497]],[[-2.77676289 -0.02003956  0.43005744]],[[-3.0930871  -0.33636376  0.11373324]],[[-2.99165015 -0.23492681  0.21517019]],[[-3.15418473 -0.39746139  0.05263561]],[[-3.30825415 -0.55153081 -0.10143382]],[[-3.35022378 -0.59350045 -0.14340345]],[[-3.29628258 -0.53955924 -0.08946224]],[[-3.1179704  -0.36124707  0.08884993]],[[-2.92785704 -0.17113371  0.27896329]],[[-2.99022256 -0.23349922  0.21659778]],[[-2.83720197 -0.08047864  0.36961836]],[[-2.77220326 -0.01547992  0.43461708]],[[-2.75300211  0.00372122  0.45381822]],[[-2.59213897  0.16458437  0.61468137]],[[-2.48634672  0.27037662  0.72047362]]
[[-3.1874039   1.3498866  -2.11407008]],[[-3.11105009  1.42624041 -2.03771626]],[[-3.29619196  1.24109854 -2.22285813]],[[-3.42395584  1.11333466 -2.35062201]],[[-3.34603426  1.19125624 -2.27270043]],[[-3.33188699  1.20540351 -2.25855317]],[[-3.3375144   1.1997761  -2.26418057]],[[-3.273366    1.2639245  -2.20003217]],[[-3.0359254   1.5013651  -1.96259157]],[[-3.01054966  1.52674084 -1.93721583]],[[-2.83729102  1.69999948 -1.76395719]],[[-2.91990153  1.61738897 -1.8465677 ]],[[-2.92336122  1.61392928 -1.85002739]],[[-3.01066344  1.52662706 -1.93732961]],[[-2.88756471  1.64972579 -1.81423088]],[[-3.01001607  1.52727443 -1.93668225]],[[-3.00944513  1.52784537 -1.9361113 ]],[[-3.04999447  1.48729603 -1.97666064]],[[-3.06857981  1.46871069 -1.99524599]],[[-3.14718019  1.39011031 -2.07384636]]
[[-0.11839545  1.6991419   0.95013552]],[[-0.18103556  1.63650179  0.88749541]],[[-0.20739839  1.61013896  0.86113258]],[[-0.2427548   1.57478255  0.82577617]],[[-0.13883841  1.67869894  0.92969256]],[[-0.07251815  1.7450192   0.99601282]],[[-0.0519435   1.76559385  1.01658747]],[[-0.07156207  1.74597529  0.99696891]],[[-0.19550884  1.62202852  0.87302214]],[[0.04052045 1.8580578  1.10905142]],[[8.71607865e-04 1.81840896e+00 1.06940258e+00]],[[0.01975733 1.83729468 1.0882883 ]],[[-0.05430761  1.76322974  1.01422336]],[[-0.13927737  1.67825998  0.9292536 ]],[[-0.08880233  1.72873502  0.97972864]],[[-0.24436166  1.57317569  0.82416932]],[[-0.2631385   1.55439885  0.80539247]],[[-0.15452131  1.66301604  0.91400966]],[[0.00762835 1.8251657  1.07615932]],[[-0.06778949  1.74974786  1.00074148]]
[[ 0.45711758 -0.2233442  -4.18094963]],[[ 0.59393731 -0.08652446 -4.04412989]],[[ 0.74738231  0.06692053 -3.8906849 ]],[[ 0.71800792  0.03754615 -3.92005928]],[[ 0.77148338  0.09102161 -3.86658382]],[[ 0.75245662  0.07199484 -3.88561059]],[[ 0.76786375  0.08740198 -3.87020345]],[[ 0.65312295 -0.02733882 -3.98494425]],[[ 0.53175287 -0.1487089  -4.10631433]],[[ 0.51544373 -0.16501804 -4.12262347]],[[ 0.60198572 -0.07847606 -4.03608148]],[[ 0.43317942 -0.24728236 -4.20488779]],[[ 0.42609784 -0.25436393 -4.21196936]],[[ 0.17549539 -0.50496638 -4.46257181]],[[ 0.28461217 -0.3958496  -4.35345503]],[[ 0.44522466 -0.23523711 -4.19284254]],[[ 0.59031293 -0.09014885 -4.04775427]],[[ 0.55249752 -0.12796425 -4.08556968]],[[ 0.64174693 -0.03871484 -3.99632027]],[[ 0.49859096 -0.18187082 -4.13947624]]
[[ 1.88075876 -1.45888497 -2.56466329]],[[ 1.9926396  -1.34700412 -2.45278245]],[[ 2.02349306 -1.31615067 -2.421929  ]],[[ 2.09768721 -1.24195652 -2.34773485]],[[ 2.1126614  -1.22698233 -2.33276066]],[[ 2.06220742 -1.27743631 -2.38321464]],[[ 2.03143085 -1.30821288 -2.41399121]],[[ 2.02875928 -1.31088445 -2.41666277]],[[ 2.07587459 -1.26376914 -2.36954747]],[[ 1.93080171 -1.40884201 -2.51462034]],[[ 1.94364321 -1.39600051 -2.50177884]],[[ 1.95212091 -1.38752282 -2.49330115]],[[ 1.94305357 -1.39659016 -2.50236849]],[[ 2.06300913 -1.27663459 -2.38241292]],[[ 2.04171132 -1.2979324  -2.40371073]],[[ 2.06217315 -1.27747058 -2.3832489 ]],[[ 2.02375653 -1.3158872  -2.42166552]],[[ 2.02215566 -1.31748806 -2.42326639]],[[ 1.96705868 -1.37258504 -2.47836337]],[[ 1.92405033 -1.4155934  -2.52137173]]
[[ 0.90216641 -2.1243767  -1.23104449]],[[ 0.75928999 -2.26725312 -1.37392091]],[[ 0.76931829 -2.25722482 -1.36389261]],[[ 0.64154737 -2.38499574 -1.49166353]],[[ 0.76631767 -2.26022544 -1.36689323]],[[ 0.50432767 -2.52221544 -1.62888322]],[[ 0.38266774 -2.64387536 -1.75054315]],[[ 0.45935045 -2.56719266 -1.67386045]],[[ 0.58195752 -2.44458558 -1.55125337]],[[ 0.66468143 -2.36186168 -1.46852947]],[[ 0.74829352 -2.27824959 -1.38491738]],[[ 0.84481678 -2.18172633 -1.28839412]],[[ 0.91379296 -2.11275015 -1.21941794]],[[ 0.86355721 -2.16298589 -1.26965368]],[[ 0.92319109 -2.10335202 -1.21001981]],[[ 0.97355582 -2.05298729 -1.15965508]],[[ 0.93117749 -2.09536562 -1.2020334 ]],[[ 0.78660487 -2.23993823 -1.34660602]],[[ 0.715202   -2.3113411  -1.41800889]],[[ 0.86327093 -2.16327218 -1.26993997]]
[[-0.57112591  0.68759405  0.73039324]],[[-0.60149452  0.65722544  0.70002464]],[[-0.63541033  0.62330962  0.66610882]],[[-0.62622728  0.63249268  0.67529187]],[[-0.67748088  0.58123908  0.62403827]],[[-0.77386304  0.48485691  0.52765611]],[[-0.78863887  0.47008109  0.51288028]],[[-0.7396981   0.51902185  0.56182105]],[[-0.93778051  0.32093945  0.36373864]],[[-1.22998496  0.028735    0.0715342 ]],[[-1.0865154   0.17220456  0.21500376]],[[-1.00055411  0.25816584  0.30096504]],[[-1.05566468  0.20305527  0.24585447]],[[-0.96883836  0.28988159  0.33268079]],[[-0.65738748  0.60133248  0.64413168]],[[-0.64895753  0.60976243  0.65256162]],[[-0.66879003  0.58992992  0.63272912]],[[-0.55694797  0.70177198  0.74457118]],[[-0.54489501  0.71382495  0.75662415]],[[-0.53778356  0.7209364   0.76373559]]
[[0.25244001 0.00232883 0.14235184]],[[0.28523885 0.03512767 0.17515068]],[[ 0.22935638 -0.0207548   0.11926821]],[[0.3557042  0.10559302 0.24561603]],[[0.30984266 0.05973147 0.19975448]],[[0.35909644 0.10898525 0.24900826]],[[0.46943292 0.21932174 0.35934475]],[[0.42934926 0.17923808 0.31926109]],[[0.38638147 0.13627029 0.2762933 ]],[[ 0.10984204 -0.14026914 -0.00024613]],[[-0.04156505 -0.29167623 -0.15165322]],[[ 0.0578183  -0.19229288 -0.05226987]],[[ 0.11572754 -0.13438364  0.00563937]],[[ 0.21451126 -0.03559992  0.10442309]],[[ 0.23385727 -0.01625391  0.1237691 ]],[[2.50244855e-01 1.33673271e-04 1.40156684e-01]],[[0.28807128 0.03796009 0.1779831 ]],[[0.27815347 0.02804229 0.1680653 ]],[[0.38002328 0.1299121  0.26993511]],[[0.33890873 0.08879755 0.22882056]]
[[ 0.68311794 -0.45749256 -0.70486513]],[[ 0.67064777 -0.46996273 -0.71733529]],[[ 0.78707653 -0.35353397 -0.60090653]],[[ 0.71058926 -0.43002125 -0.67739381]],[[ 0.7165906  -0.4240199  -0.67139247]],[[ 0.62659125 -0.51401925 -0.76139181]],[[ 0.80938198 -0.33122852 -0.57860108]],[[ 0.67406199 -0.46654852 -0.71392108]],[[ 0.76365218 -0.37695832 -0.62433089]],[[ 0.95665781 -0.18395269 -0.43132525]],[[ 0.90779872 -0.23281178 -0.48018434]],[[ 0.90922273 -0.23138777 -0.47876034]],[[ 0.86984806 -0.27076244 -0.518135  ]],[[ 0.84136035 -0.29925015 -0.54662272]],[[ 0.85017684 -0.29043366 -0.53780623]],[[ 0.86575924 -0.27485126 -0.52222382]],[[ 0.74808329 -0.39252722 -0.63989978]],[[ 0.7859714  -0.35463911 -0.60201167]],[[ 0.73859795 -0.40201256 -0.64938512]],[[ 0.73530057 -0.40530993 -0.65268249]]
[[ 3.42695759 -1.06568823 -0.25146552]],[[ 3.38378634 -1.10885948 -0.29463677]],[[ 3.34319119 -1.14945463 -0.33523193]],[[ 3.44653221 -1.04611361 -0.2318909 ]],[[ 3.54677074 -0.94587508 -0.13165237]],[[ 3.45681743 -1.03582839 -0.22160568]],[[ 3.57481534 -0.91783048 -0.10360777]],[[ 3.49713837 -0.99550745 -0.18128475]],[[ 3.621665   -0.87098082 -0.05675811]],[[ 3.597749   -0.89489682 -0.08067411]],[[ 3.66201769 -0.83062813 -0.01640542]],[[ 3.72131889 -0.77132693  0.04289577]],[[ 3.72524253 -0.76740329  0.04681942]],[[ 3.5532927  -0.93935312 -0.12513041]],[[ 3.68884763 -0.80379819  0.01042451]],[[ 3.62972031 -0.86292551 -0.0487028 ]],[[ 3.49268655 -0.99995927 -0.18573656]],[[ 3.58206671 -0.91057911 -0.0963564 ]],[[ 3.64811574 -0.84453008 -0.03030738]],[[ 3.42280886 -1.06983696 -0.25561425]]
