z1,z2
6.447856426239013672e-01,-1.438662111759185791e-01
7.461491823196411133e-01,2.972107410430908203e+00
4.431173205375671387e-01,-8.689720928668975830e-02
-1.238135218620300293e+00,3.782950639724731445e-01
-1.643410325050354004e-01,-3.246928751468658447e-01
1.953908801078796387e-01,8.331898450851440430e-01
-2.586214542388916016e-01,1.576669216156005859e+00
-6.574785113334655762e-01,1.560943424701690674e-01
5.869625806808471680e-01,-7.701838016510009766e-01
3.109679222106933594e-01,8.631309270858764648e-01
-5.566613376140594482e-02,-7.690235972404479980e-01
-2.021099627017974854e-01,7.944355905055999756e-02
6.480007767677307129e-01,-2.669267058372497559e-01
-3.930981457233428955e-01,-7.958519458770751953e-01
-4.111457467079162598e-01,1.247572183609008789e+00
1.243598163127899170e-01,-9.950473904609680176e-02
2.361263185739517212e-01,-1.797163784503936768e-01
-1.065227627754211426e+00,2.731070756912231445e+00
8.165091872215270996e-01,-8.490154743194580078e-01
-1.071292757987976074e-01,-3.115952610969543457e-01
-2.618061304092407227e-01,1.313949972391128540e-01
-2.667229771614074707e-01,-1.347592353820800781e+00
-4.732219278812408447e-01,5.049456357955932617e-01
9.264229238033294678e-02,-7.023271918296813965e-01
3.239536285400390625e-02,-5.693870186805725098e-01
1.910651922225952148e-01,-3.595885336399078369e-01
-5.364663004875183105e-01,3.146113753318786621e-01
1.860970258712768555e-01,-2.357831001281738281e-01
2.057279832661151886e-02,4.422484338283538818e-01
2.205216437578201294e-01,-2.853259742259979248e-01
5.206888914108276367e-02,-4.601171612739562988e-01
1.436408519744873047e+00,2.161485433578491211e+00
-1.365614295005798340e+00,-3.843635916709899902e-01
-7.806974649429321289e-01,1.742638707160949707e+00
-3.290437161922454834e-01,-7.248110175132751465e-01
-1.189513921737670898e+00,-2.296159714460372925e-01
-8.474628329277038574e-01,7.060923576354980469e-01
-1.718385219573974609e-01,-4.070771336555480957e-01
-8.917176723480224609e-01,6.680101156234741211e-01
1.677735328674316406e+00,-1.325041294097900391e+00
-7.706280946731567383e-01,-2.332162708044052124e-01
-1.825625598430633545e-01,2.763536691665649414e+00
7.232543826103210449e-01,-8.878404647111892700e-02
-1.819854259490966797e+00,5.094978213310241699e-02
-6.085469722747802734e-01,6.129068136215209961e-02
-1.256413578987121582e+00,-1.255383789539337158e-01
5.069686770439147949e-01,-6.766153126955032349e-02
-3.070744514465332031e+00,3.400743007659912109e-02
-5.487934350967407227e-01,-1.559844732284545898e+00
-1.097872734069824219e+00,3.534638285636901855e-01
-3.100797235965728760e-01,-1.473033428192138672e-02
-4.150387048721313477e-01,-4.575651288032531738e-01
-1.236421689391136169e-01,-1.853313297033309937e-01
1.212845802307128906e+00,-2.101298272609710693e-01
1.221876382827758789e+00,-5.272054672241210938e-01
2.536430656909942627e-01,2.727733254432678223e-01
9.180591106414794922e-01,4.016927480697631836e-01
-1.351862668991088867e+00,2.195085585117340088e-02
-3.222269415855407715e-01,-1.864853739738464355e+00
-7.096217870712280273e-01,-1.367178082466125488e+00
1.995857477188110352e+00,-1.795797109603881836e+00
9.132657051086425781e-01,-6.607415080070495605e-01
2.181744098663330078e+00,-6.049901843070983887e-01
-3.123062252998352051e-01,4.480037689208984375e-01
1.082594394683837891e+00,5.036216378211975098e-01
-1.291807413101196289e+00,4.811082184314727783e-01
-1.165817618370056152e+00,6.413007974624633789e-01
-9.380110502243041992e-01,3.857733309268951416e-02
-1.945866107940673828e+00,1.926518976688385010e-01
-3.114036619663238525e-01,4.115875661373138428e-01
1.602596521377563477e+00,1.696328818798065186e-02
-1.104017257690429688e+00,-1.652363091707229614e-01
-2.491239070892333984e+00,1.471793949604034424e-01
8.842994272708892822e-02,-8.157136440277099609e-01
2.162650823593139648e-01,-5.271437168121337891e-01
7.816171646118164062e-01,-3.891472518444061279e-01
1.625059843063354492e+00,-2.709785938262939453e+00
-8.501017093658447266e-01,-4.421693682670593262e-01
8.050087690353393555e-01,-1.983092129230499268e-01
6.844884753227233887e-01,6.350134313106536865e-02
-3.281409442424774170e-01,-2.728380858898162842e-01
4.585724174976348877e-01,-2.058894932270050049e-01
-1.165081739425659180e+00,-2.982856035232543945e-01
-7.070058584213256836e-02,2.344257235527038574e-01
5.371788144111633301e-02,-6.441554427146911621e-01
6.632773876190185547e-01,5.290881395339965820e-01
-7.804532051086425781e-01,-3.830418586730957031e-01
1.675661325454711914e+00,1.267932295799255371e+00
-8.065049648284912109e-01,1.581892371177673340e-01
7.869377136230468750e-01,3.312657177448272705e-01
-4.079000949859619141e+00,2.807117104530334473e-01
-3.599179685115814209e-01,-4.624728113412857056e-02
4.076242148876190186e-01,-7.438570261001586914e-01
-4.985549747943878174e-01,2.377673983573913574e-02
-5.318260192871093750e-01,7.704138755798339844e-01
4.436400830745697021e-01,-1.115200817584991455e-01
-7.521087527275085449e-01,4.443958997726440430e-01
-9.761151671409606934e-02,6.921107172966003418e-01
-2.958688139915466309e-02,-4.444467425346374512e-01
1.216736584901809692e-01,-1.633488535881042480e-01
8.807992935180664062e-01,4.663858413696289062e+00
7.171958684921264648e-01,-9.298307448625564575e-02
-1.117883563041687012e+00,6.071505546569824219e-01
5.179954767227172852e-01,-3.949863314628601074e-01
-3.378177881240844727e-01,-4.236892461776733398e-01
2.320203781127929688e-01,7.441765069961547852e-01
7.544443011283874512e-02,8.432210981845855713e-02
4.463163316249847412e-01,8.945048600435256958e-02
7.822840213775634766e-01,5.588900297880172729e-02
2.606716752052307129e-01,-8.884164094924926758e-01
1.089019060134887695e+00,-3.886129856109619141e-01
-5.898995399475097656e-01,-1.496520340442657471e-01
-7.502117753028869629e-01,4.121091067790985107e-01
-3.281296253204345703e+00,8.908342123031616211e-01
1.394104599952697754e+00,1.861117005348205566e+00
1.865260601043701172e-01,-7.132291793823242188e-02
1.388693898916244507e-01,-5.087754726409912109e-01
6.811686754226684570e-01,5.395679473876953125e-01
5.182734727859497070e-01,-1.920667886734008789e+00
